Sample_ID,Site,Classification,Time_of_year,Number_of_clusters,Wolbachia_presence,Average_min_temp,Average_max_temp,Average_temp
1,COFR,urban,1,119,N,1.313333416,2.760000038,2.036666727
2,COFR,urban,2,45,Y,1.835000038,3.164999962,2.5
3,COFR,urban,3,37,Y,2.070000076,3.284999847,2.677499962
4,COFR,urban,4,40,N,1.957499886,3.132500076,2.544999981
5,COFR,urban,5,17,Y,0.894999981,2.25,1.57249999
6,COFR,urban,6,22,N,0.773333359,2.176666832,1.475000095
7,DEMI,suburban,1,47,Y,1.313333416,2.760000038,2.036666727
8,DEMI,suburban,2,5,N,1.835000038,3.164999962,2.5
9,DEMI,suburban,3,10,N,2.070000076,3.284999847,2.677499962
10,DEMI,suburban,4,4,N,1.957499886,3.135000038,2.546249962
11,DEMI,suburban,5,20,Y,0.894999981,2.25,1.57249999
12,DEMI,suburban,6,8,N,0.773333359,2.180000114,1.476666737
13,BOWA,rural,1,3,N,1.283333302,2.726666832,2.005000067
14,BOWA,rural,2,3,N,1.809999847,3.129999924,2.469999886
15,BOWA,rural,3,11,N,2.05,3.255000305,2.652500153
16,BOWA,rural,4,13,N,1.927499962,3.102499962,2.514999962
17,BOWA,rural,5,369,N,0.854999924,2.220000076,1.5375
18,BOWA,rural,6,9,Y,0.736666632,2.153333282,1.444999957
19,BIVA,suburban,1,44,Y,1.30666666,2.746666718,2.026666689
20,BIVA,suburban,2,2,N,1.825,3.145000076,2.485000038
21,BIVA,suburban,3,7,N,2.060000038,3.265000153,2.662500095
22,BIVA,suburban,4,18,N,1.952499962,3.120000076,2.536250019
23,BIVA,suburban,5,15,Y,0.885000038,2.25,1.567500019
24,BIVA,suburban,6,42,N,0.766666651,2.176666832,1.471666741
25,RIST,rural,1,30,Y,1.3,2.723333168,2.011666584
26,RIST,rural,2,0,N,1.814999962,3.119999886,2.467499924
27,RIST,rural,3,1,Y,2.05,3.240000153,2.645000076
28,RIST,rural,4,8,Y,1.942500114,3.097499847,2.519999981
29,RIST,rural,5,9,Y,0.875,2.240000153,1.557500076
30,RIST,rural,6,2,Y,0.763333368,2.16333313,1.463333249
31,BACA,urban,1,1,N,1.30666666,2.713333321,2.00999999
32,BACA,urban,2,7,N,1.825,3.110000038,2.467500019
33,BACA,urban,3,2,Y,2.060000038,3.234999847,2.647499943
34,BACA,urban,4,5,N,1.947500038,3.092499924,2.519999981
35,BACA,urban,5,1,Y,0.894999981,2.229999924,1.562499952
36,BACA,urban,6,2,Y,0.773333359,2.15,1.461666679
37,AUCA,rural,1,1,N,1.289999866,2.716666603,2.003333235
38,AUCA,rural,2,1,N,1.814999962,3.119999886,2.467499924
39,AUCA,rural,3,1,N,2.05,3.244999695,2.647499847
40,AUCA,rural,4,2,N,1.932500076,3.089999962,2.511250019
41,AUCA,rural,5,2,N,0.864999962,2.209999847,1.537499905
42,AUCA,rural,6,26,N,0.74000001,2.139999962,1.439999986
43,JOMA,urban,1,12,Y,1.306666565,2.703333282,2.004999924
44,JOMA,urban,2,24,N,1.814999962,3.1,2.457499981
45,JOMA,urban,3,14,N,2.05,3.229999924,2.639999962
46,JOMA,urban,4,7,Y,1.942500114,3.089999962,2.516250038
47,JOMA,urban,5,7,Y,0.894999981,2.225,1.55999999
48,JOMA,urban,6,110,N,0.776666641,2.139999962,1.458333302
49,PRCR,suburban,1,2,N,1.313333416,2.753333473,2.033333445
50,PRCR,suburban,2,3,N,1.835000038,3.155000114,2.495000076
51,PRCR,suburban,3,1,N,2.070000076,3.275,2.672500038
52,PRCR,suburban,4,7,N,1.954999924,3.125,2.539999962
53,PRCR,suburban,5,1,N,0.894999981,2.25,1.57249999
54,PRCR,suburban,6,3,N,0.770000029,2.173333168,1.471666598
