sample_name,site_name,date_range
micro_01,COFR,1
micro_02,COFR,2
micro_03,COFR,3
micro_04,COFR,4
micro_05,COFR,5
micro_06,COFR,6
micro_07,DEMI,1
micro_08,DEMI,2
micro_09,DEMI,3
micro_10,DEMI,4
micro_11,DEMI,5
micro_12,DEMI,6
micro_13,BOWA,1
micro_14,BOWA,2
micro_15,BOWA,3
micro_16,BOWA,4
micro_17,BOWA,5
micro_18,BOWA,6
micro_19,BIVA,1
micro_20,BIVA,2
micro_21,BIVA,3
micro_22,BIVA,4
micro_23,BIVA,5
micro_24,BIVA,6
micro_25,RIST,1
micro_26,RIST,2
micro_27,RIST,3
micro_28,RIST,4
micro_29,RIST,5
micro_30,RIST,6
micro_31,BACA,1
micro_32,BACA,2
micro_33,BACA,3
micro_34,BACA,4
micro_35,BACA,5
micro_36,BACA,6
micro_37,AUCA,1
micro_38,AUCA,2
micro_39,AUCA,3
micro_40,AUCA,4
micro_41,AUCA,5
micro_42,AUCA,6
micro_43,JOMA,1
micro_44,JOMA,2
micro_45,JOMA,3
micro_46,JOMA,4
micro_47,JOMA,5
micro_48,JOMA,6
micro_49,PRCR,1
micro_50,PRCR,2
micro_51,PRCR,3
micro_52,PRCR,4
micro_53,PRCR,5
micro_54,PRCR,6
